자치구,범죄율,인구대비무단투기,유동인구평균,유흥업소,for_perc
강남구,0.31550252844500637,0.5926276481806293,1.0,0.2594265952699688,0.035442307935893105
강동구,0.15415613147914034,0.1071226841248612,0.07964982056732725,0.1690651494868362,0.044241952737301485
강북구,0.18054677623261697,0.25639901272820975,0.0,0.12561356537260152,0.061688404061609
강서구,0.10540455120101141,0.0048284772819616704,0.1571670209604791,0.12410754127621598,0.06234487247888487
관악구,0.19089759797724395,0.12804090734334345,0.09353128071498779,0.21999107541276217,0.36064275502117343
광진구,0.2648941213653604,0.2276777626385702,0.12350225148003383,0.02292503346720214,0.4299296655398278
구로구,0.20986093552465232,0.09519984252215893,0.19122265651786327,0.035921463632307006,0.8256930345193396
금천구,0.280736409608091,0.1203956977981965,0.10565955793275275,0.11618697010263274,0.8586402863459369
노원구,0.06984829329962075,0.015415298952722156,0.09754737251137169,0.020972780008924583,0.007852443381814664
도봉구,0.0,0.0,0.00976479462387711,0.034861668897813475,0.0
동대문구,0.20093236409608092,0.059838007803364866,0.15430981279572106,0.10575635876840694,0.46582541655935017
동작구,0.09394753476611886,0.06253131622658656,0.12282337882008734,0.06258366800535475,0.31153862241928854
마포구,0.31238147914032866,0.18963541911371512,0.34495417038103726,0.08550870147255689,0.28720656923322374
서대문구,0.1502844500632111,0.21146929139342274,0.21979016663238019,0.04445560017849175,0.409473258845255
서초구,0.18947534766118837,0.002207372193886406,0.6667786692267252,0.08813029897367244,0.047601212081425384
성동구,0.1214443742098609,0.00214857191501361,0.17460741959816226,0.034024988844265955,0.2497022318826445
성북구,0.06980878634639695,0.002435215141103682,0.10960479096665068,0.004016064257028111,0.24523361737774718
송파구,0.10011061946902652,0.14770322145434597,0.40574413129442966,0.08690316822846943,0.051434499094051844
양천구,0.0947376738305942,0.004243130623018973,0.08074927426912615,0.0,0.02796695965823741
영등포구,0.35844658659924145,0.09446265933148137,0.4705181832727606,0.21909861668897812,0.9999999999999999
용산구,0.4280578381795196,0.08432438222180569,0.22091019223296535,0.06141231593038821,0.7316343421621451
은평구,0.08418931731984827,0.0514041597765408,0.020062172849665133,0.08723784024988843,0.038828219853768706
종로구,0.7476690897597978,1.0,0.4804589819195868,0.7095046854082999,0.6699915191769085
중구,1.0000000000000002,0.2900786594851209,0.555987565430067,0.9999999999999999,0.7767228246314858
중랑구,0.20938685208596716,0.21692300400256545,0.016777526343459276,0.0321842927264614,0.06546275783470196
